fecha	hora_colocacion 	hora_retiro	sexo	ubicacion	codigo_palma	numero_trampas	posicion_GPS	estado	Fecha_apertura	dia_despues_antesis	SYLV1	ND2	ND3	ND4	ND5	MONO1	PTIL1	ND8	OTROS ND	ST1	ST2	ST3	ST4	ST5	ST6	ST7	ST8	ST9	ST10	ST11	ST12	ST13	ST14	ST15	ST16	OTROS ST	CU1_4	CU2-CU5	CU3_9	CU6	CU7	CU10	OTROS CU	SCO1	SCO2	SCO3	SCO4	SCO5	CHRY1	CHRY2	CHRY3	CHRY4	CHRY5	CHRY6	OTROS CHRY	CARA1	DYN1	DYN2	DYN3	HIST1	HIST2	DERM1	DERM2	DERM3	OTROS COLEOPTEROS	HYM1	HYM2	HYM3	HYM4	HYM5	HYM6	HYM7	HYM8	HYMA	HYMB	HYMC	HYMD	HYME	HYMF	HYMG	HYMH	OTROS HYM 	D1	D2	D3	D4	D5
2021.08.04	12:30	18:00	Femenino	Bosque	B-035_F	a					8	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	206	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.04	08:00	12:25	Femenino	Pastizal	P00						0	3	41	3	19	0	2	0	0	0	1	1	0	111	6	35	0	0	0	0	4	0	3	0	0	0	23	15	5	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	2	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.05	12:30	18:00	Femenino	Pastizal	P00						4	0	2	2	0	0	59	1	8	3	0	0	0	40	0	3	0	1	0	0	5	0	6	0	0	0	11	4	5	2	4	0	2	2	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	71	0	0	0	0	0	7	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.05	18:00	08:05	Femenino	Pastizal	P00						565	66	61	155	199	0	0	0	0	9	2	0	0	438	7	8	0	0	0	0	11	0	1	0	0	0	112	264	254	1	22	0	2	2	2	2	0	0	0	1	0	1	0	0	0	3	8	0	0	0	0	0	1	0	3	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.04	08:00	12:30	Femenino	Bosque	B-035_F	a					0	1	5	1	4	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	2	0	0	0	1	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.04	18:00	08:00	Femenino	Bosque	B-035_F	a					10	14	3	8	13	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	26	36	0	1	0	0	1	1	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2021.08.05	18:00	07:40	Femenino	Bosque	B-035_F	a					4	9	2	5	4	0	0	0	0	1	1	0	0	13	0	2	0	0	0	0	0	0	0	0	0	0	2	15	24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.05	08:00	12:39	Femenino	Bosque	B-035_F	a					1	1	0	0	1	0	1	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.05	12:00	18:00	Femenino	Bosque	B-035_F	a					0	5	0	0	1	0	1	1	0	0	0	0	0	3	0	1	0	1	0	0	0	0	4	0	0	0	0	2	3	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2021.08.13	08:00	12:30	Femenino	Bosque	B-002_F	a					0	0	0	0	2	0	5	0	0	0	0	0	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2021.08.14	18:00	08:00	Femenino	Bosque	B-002_F	a					1	0	0	0	0	0	2	0	0	1	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
2021.08.12	08:00	12:20	Femenino	Bosque	B-002_F	a					0	0	0	0	4	0	0	0	0	0	0	0	8	44	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
